ImageName	TimePoint	DayAfterInduction
Image5D_bf4961_SPOT11.tif	1	d8
Image5D_bf4961_SPOT11.tif	2	d9
Image5D_bf4961_SPOT11.tif	3	d11
Image5D_bf4961_SPOT11.tif	4	d13
Image5D_bf4961_SPOT11.tif	5	d14
Image5D_bf4961_SPOT11.tif	6	d16
Image5D_bf4961_SPOT11.tif	7	d18
Image5D_bf4961_SPOT11.tif	8	d20
Image5D_bf4961_SPOT11.tif	9	d22
Image5D_bf4961_SPOT11.tif	10	d25
Image5D_bf4961_SPOT13.tif	1	d9
Image5D_bf4961_SPOT13.tif	2	d11
Image5D_bf4961_SPOT13.tif	3	d13
Image5D_bf4961_SPOT13.tif	4	d14
Image5D_bf4961_SPOT13.tif	5	d16
Image5D_bf4961_SPOT13.tif	6	d18
Image5D_bf4961_SPOT13.tif	7	d20
Image5D_bf4961_SPOT13.tif	8	d22
Image5D_bf4961_SPOT13.tif	9	d25
Image5D_bf4961_SPOT13.tif	10	d27
Image5D_bf4961_SPOT13.tif	11	d29
Image5D_bf4961_SPOT13.tif	12	d34
Image5D_bf4961_SPOT14.tif	1	d9
Image5D_bf4961_SPOT14.tif	2	d11
Image5D_bf4961_SPOT14.tif	3	d13
Image5D_bf4961_SPOT16.tif	1	d13
Image5D_bf4961_SPOT16.tif	2	d14
Image5D_bf4961_SPOT16.tif	3	d16
Image5D_bf4961_SPOT16.tif	4	d18
Image5D_bf4961_SPOT16.tif	5	d20
Image5D_bf4961_SPOT16.tif	6	d22
Image5D_bf4961_SPOT16.tif	7	d25
Image5D_bf4961_SPOT16.tif	8	d27
Image5D_bf4961_SPOT16.tif	9	d29
Image5D_bf4961_SPOT16.tif	10	d34
Image5D_bf4961_SPOT16.tif	11	d49
Image5D_bf4961_SPOT3.tif	1	d5
Image5D_bf4961_SPOT3.tif	2	d6
Image5D_bf4961_SPOT3.tif	3	d7
Image5D_bf4961_SPOT3.tif	4	d8
Image5D_bf4961_SPOT4.tif	1	d5
Image5D_bf4961_SPOT4.tif	2	d6
Image5D_bf4961_SPOT4.tif	3	d7
Image5D_bf4961_SPOT4.tif	4	d8
Image5D_bf4961_SPOT4.tif	5	d9
Image5D_bf4961_SPOT4.tif	6	d11
Image5D_bf4961_SPOT4.tif	7	d13
Image5D_bf4961_SPOT4.tif	8	d14
Image5D_bf4961_SPOT4.tif	9	d16
Image5D_bf4961_SPOT4.tif	10	d18
Image5D_bf4961_SPOT4.tif	11	d20
Image5D_bf4961_SPOT4.tif	12	d22
Image5D_bf4961_SPOT4.tif	13	d25
Image5D_bf4961_SPOT4.tif	14	d27
Image5D_bf4961_SPOT4.tif	15	d29
Image5D_bf4961_SPOT4.tif	16	d34
Image5D_bf4961_SPOT4.tif	17	d49
Image5D_bf4961_SPOT6.tif	1	d6
Image5D_bf4961_SPOT6.tif	2	d7
Image5D_bf4961_SPOT6.tif	3	d8
Image5D_bf4961_SPOT6.tif	4	d9
Image5D_bf4961_SPOT6.tif	5	d11
Image5D_bf4961_SPOT6.tif	6	d13
Image5D_bf4961_SPOT6.tif	7	d16
Image5D_bf4961_SPOT6.tif	8	d18
Image5D_bf4961_SPOT6.tif	9	d22
Image5D_bf4961_SPOT6.tif	10	d25
Image5D_bf4961_SPOT6.tif	11	d29
Image5D_bf4961_SPOT6.tif	12	d34
Image5D_bf4961_SPOT7.tif	1	d7
Image5D_bf4961_SPOT7.tif	2	d8
Image5D_bf4961_SPOT7.tif	3	d9
Image5D_bf4961_SPOT7.tif	4	d11
Image5D_bf4961_SPOT7.tif	5	d13
Image5D_bf4961_SPOT7.tif	6	d16
Image5D_bf4961_SPOT7.tif	7	d18
Image5D_bf4961_SPOT7.tif	8	d20
Image5D_bf4961_SPOT7.tif	9	d22
Image5D_bf4961_SPOT7.tif	10	d25
Image5D_bf4961_SPOT7.tif	11	d29
Image5D_bf4961_SPOT7.tif	12	d34
Image5D_bf3558_SPOT10.tif	1	d3
Image5D_bf3558_SPOT10.tif	2	d4
Image5D_bf3558_SPOT10.tif	3	d5
Image5D_bf3558_SPOT101.tif	1	d2
Image5D_bf3558_SPOT101.tif	2	d3
Image5D_bf3558_SPOT101.tif	3	d4
Image5D_bf3558_SPOT101.tif	4	d5
Image5D_bf3558_SPOT101.tif	5	d6
Image5D_bf3558_SPOT101.tif	6	d7
Image5D_bf3558_SPOT101.tif	7	d8
Image5D_bf3558_SPOT101.tif	8	d9
Image5D_bf3558_SPOT101.tif	9	d10
Image5D_bf3558_SPOT101.tif	10	d12
Image5D_bf3558_SPOT101.tif	11	d13
Image5D_bf3558_SPOT101.tif	12	d14
Image5D_bf3558_SPOT101.tif	13	d15
Image5D_bf3558_SPOT101.tif	14	d16
Image5D_bf3558_SPOT101.tif	15	d17
Image5D_bf3558_SPOT101.tif	16	d19
Image5D_bf3558_SPOT101.tif	17	d20
Image5D_bf3558_SPOT101.tif	18	d22
Image5D_bf3558_SPOT101.tif	19	d27
Image5D_bf3558_SPOT102.tif	1	d2
Image5D_bf3558_SPOT102.tif	2	d3
Image5D_bf3558_SPOT102.tif	3	d4
Image5D_bf3558_SPOT102.tif	4	d5
Image5D_bf3558_SPOT102.tif	5	d6
Image5D_bf3558_SPOT102.tif	6	d7
Image5D_bf3558_SPOT102.tif	7	d8
Image5D_bf3558_SPOT102.tif	8	d9
Image5D_bf3558_SPOT102.tif	9	d10
Image5D_bf3558_SPOT102.tif	10	d12
Image5D_bf3558_SPOT102.tif	11	d13
Image5D_bf3558_SPOT102.tif	12	d14
Image5D_bf3558_SPOT102.tif	13	d15
Image5D_bf3558_SPOT102.tif	14	d16
Image5D_bf3558_SPOT102.tif	15	d17
Image5D_bf3558_SPOT102.tif	16	d19
Image5D_bf3558_SPOT102.tif	17	d20
Image5D_bf3558_SPOT102.tif	18	d22
Image5D_bf3558_SPOT102.tif	19	d27
Image5D_bf3558_SPOT11.tif	1	d3
Image5D_bf3558_SPOT11.tif	2	d4
Image5D_bf3558_SPOT11.tif	3	d5
Image5D_bf3558_SPOT12.tif	1	d3
Image5D_bf3558_SPOT12.tif	2	d4
Image5D_bf3558_SPOT12.tif	3	d5
Image5D_bf3558_SPOT12.tif	4	d6
Image5D_bf3558_SPOT12.tif	5	d7
Image5D_bf3558_SPOT12.tif	6	d8
Image5D_bf3558_SPOT14.tif	1	d4
Image5D_bf3558_SPOT14.tif	2	d12
Image5D_bf3558_SPOT14.tif	3	d14
Image5D_bf3558_SPOT14.tif	4	d15
Image5D_bf3558_SPOT14.tif	5	d27
Image5D_bf3558_SPOT16.tif	1	d4
Image5D_bf3558_SPOT16.tif	2	d5
Image5D_bf3558_SPOT16.tif	3	d6
Image5D_bf3558_SPOT16.tif	4	d7
Image5D_bf3558_SPOT16.tif	5	d8
Image5D_bf3558_SPOT16.tif	6	d9
Image5D_bf3558_SPOT16.tif	7	d10
Image5D_bf3558_SPOT16.tif	8	d12
Image5D_bf3558_SPOT16.tif	9	d13
Image5D_bf3558_SPOT16.tif	10	d15
Image5D_bf3558_SPOT16.tif	11	d17
Image5D_bf3558_SPOT16.tif	12	d19
Image5D_bf3558_SPOT16.tif	13	d27
Image5D_bf3558_SPOT17.tif	1	d4
Image5D_bf3558_SPOT17.tif	2	d5
Image5D_bf3558_SPOT18.tif	1	d4
Image5D_bf3558_SPOT18.tif	2	d5
Image5D_bf3558_SPOT18.tif	3	d6
Image5D_bf3558_SPOT18.tif	4	d7
Image5D_bf3558_SPOT18.tif	5	d8
Image5D_bf3558_SPOT18.tif	6	d9
Image5D_bf3558_SPOT18.tif	7	d10
Image5D_bf3558_SPOT18.tif	8	d12
Image5D_bf3558_SPOT18.tif	9	d13
Image5D_bf3558_SPOT18.tif	10	d14
Image5D_bf3558_SPOT18.tif	11	d15
Image5D_bf3558_SPOT18.tif	12	d16
Image5D_bf3558_SPOT18.tif	13	d22
Image5D_bf3558_SPOT18.tif	14	d27
Image5D_bf3558_SPOT2.tif	1	d2
Image5D_bf3558_SPOT2.tif	2	d3
Image5D_bf3558_SPOT2.tif	3	d4
Image5D_bf3558_SPOT2.tif	4	d5
Image5D_bf3558_SPOT2.tif	5	d7
Image5D_bf3558_SPOT2.tif	6	d8
Image5D_bf3558_SPOT2.tif	7	d9
Image5D_bf3558_SPOT2.tif	8	d12
Image5D_bf3558_SPOT2.tif	9	d13
Image5D_bf3558_SPOT2.tif	10	d14
Image5D_bf3558_SPOT2.tif	11	d15
Image5D_bf3558_SPOT2.tif	12	d20
Image5D_bf3558_SPOT2.tif	13	d27
Image5D_bf3558_SPOT20.tif	1	d5
Image5D_bf3558_SPOT20.tif	2	d6
Image5D_bf3558_SPOT20.tif	3	d7
Image5D_bf3558_SPOT20.tif	4	d8
Image5D_bf3558_SPOT20.tif	5	d9
Image5D_bf3558_SPOT20.tif	6	d10
Image5D_bf3558_SPOT20.tif	7	d12
Image5D_bf3558_SPOT20.tif	8	d15
Image5D_bf3558_SPOT20.tif	9	d19
Image5D_bf3558_SPOT20.tif	10	d27
Image5D_bf3558_SPOT211.tif	1	d5
Image5D_bf3558_SPOT211.tif_	2	d6
Image5D_bf3558_SPOT211.tif	3	d7
Image5D_bf3558_SPOT211.tif	4	d9
Image5D_bf3558_SPOT211.tif	5	d10
Image5D_bf3558_SPOT211.tif	6	d12
Image5D_bf3558_SPOT211.tif	7	d13
Image5D_bf3558_SPOT211.tif	8	d15
Image5D_bf3558_SPOT211.tif	9	d16
Image5D_bf3558_SPOT211.tif	10	d17
Image5D_bf3558_SPOT211.tif	11	d19
Image5D_bf3558_SPOT211.tif	12	d20
Image5D_bf3558_SPOT211.tif	13	d22
Image5D_bf3558_SPOT211.tif	14	d27
Image5D_bf3558_SPOT22.tif	1	d5
Image5D_bf3558_SPOT22.tif	2	d6
Image5D_bf3558_SPOT22.tif	3	d7
Image5D_bf3558_SPOT22.tif	4	d9
Image5D_bf3558_SPOT22.tif	5	d12
Image5D_bf3558_SPOT22.tif	6	d15
Image5D_bf3558_SPOT22.tif	7	d27
Image5D_bf3558_SPOT23.tif	1	d5
Image5D_bf3558_SPOT23.tif	2	d6
Image5D_bf3558_SPOT23.tif	3	d7
Image5D_bf3558_SPOT23.tif	4	d8
Image5D_bf3558_SPOT23.tif	5	d9
Image5D_bf3558_SPOT23.tif	6	d12
Image5D_bf3558_SPOT23.tif	7	d15
Image5D_bf3558_SPOT23.tif	8	d27
Image5D_bf3558_SPOT24.tif	1	d5
Image5D_bf3558_SPOT24.tif	2	d6
Image5D_bf3558_SPOT24.tif	3	d7
Image5D_bf3558_SPOT24.tif	4	d9
Image5D_bf3558_SPOT24.tif	5	d10
Image5D_bf3558_SPOT24.tif	6	d12
Image5D_bf3558_SPOT24.tif	7	d13
Image5D_bf3558_SPOT24.tif	8	d14
Image5D_bf3558_SPOT24.tif	9	d15
Image5D_bf3558_SPOT24.tif	10	d16
Image5D_bf3558_SPOT24.tif	11	d17
Image5D_bf3558_SPOT24.tif	12	d19
Image5D_bf3558_SPOT24.tif	13	d20
Image5D_bf3558_SPOT24.tif	14	d27
Image5D_bf3558_SPOT25.tif	1	d5
Image5D_bf3558_SPOT25.tif	2	d6
Image5D_bf3558_SPOT25.tif	3	d7
Image5D_bf3558_SPOT25.tif	4	d9
Image5D_bf3558_SPOT25.tif	5	d12
Image5D_bf3558_SPOT25.tif	6	d13
Image5D_bf3558_SPOT25.tif	7	d15
Image5D_bf3558_SPOT25.tif	8	d27
Image5D_bf3558_SPOT26.tif	1	d6
Image5D_bf3558_SPOT26.tif	2	d7
Image5D_bf3558_SPOT26.tif	3	d8
Image5D_bf3558_SPOT26.tif	5	d10
Image5D_bf3558_SPOT26.tif	6	d12
Image5D_bf3558_SPOT26.tif	7	d13
Image5D_bf3558_SPOT26.tif	8	d14
Image5D_bf3558_SPOT26.tif	9	d15
Image5D_bf3558_SPOT26.tif	11	d17
Image5D_bf3558_SPOT26.tif	12	d19
Image5D_bf3558_SPOT26.tif	13	d22
Image5D_bf3558_SPOT26.tif	14	d27
Image5D_bf3558_SPOT28.tif	1	d8
Image5D_bf3558_SPOT28.tif	2	d9
Image5D_bf3558_SPOT28.tif	3	d10
Image5D_bf3558_SPOT28.tif	4	d12
Image5D_bf3558_SPOT28.tif	5	d13
Image5D_bf3558_SPOT28.tif	6	d15
Image5D_bf3558_SPOT28.tif	7	d17
Image5D_bf3558_SPOT28.tif	8	d27
Image5D_bf3558_SPOT29.tif	1	d9
Image5D_bf3558_SPOT29.tif	2	d10
Image5D_bf3558_SPOT29.tif	3	d12
Image5D_bf3558_SPOT29.tif	4	d13
Image5D_bf3558_SPOT29.tif	5	d14
Image5D_bf3558_SPOT29.tif	6	d15
Image5D_bf3558_SPOT29.tif	7	d16
Image5D_bf3558_SPOT29.tif	8	d17
Image5D_bf3558_SPOT29.tif	9	d19
Image5D_bf3558_SPOT29.tif	10	d20
Image5D_bf3558_SPOT29.tif	11	d22
Image5D_bf3558_SPOT29.tif	12	d27
Image5D_bf3558_SPOT3.tif	1	d2
Image5D_bf3558_SPOT3.tif	2	d3
Image5D_bf3558_SPOT3.tif	3	d6
Image5D_bf3558_SPOT3.tif	4	d7
Image5D_bf3558_SPOT3.tif	5	d8
Image5D_bf3558_SPOT3.tif	6	d9
Image5D_bf3558_SPOT3.tif	7	d12
Image5D_bf3558_SPOT3.tif	8	d13
Image5D_bf3558_SPOT3.tif	9	d16
Image5D_bf3558_SPOT3.tif	10	d27
Image5D_bf3558_SPOT4.tif	1	d2
Image5D_bf3558_SPOT4.tif	2	d3
Image5D_bf3558_SPOT4.tif	3	d4
Image5D_bf3558_SPOT4.tif	4	d5
Image5D_bf3558_SPOT4.tif	5	d6
Image5D_bf3558_SPOT5.tif	1	d2
Image5D_bf3558_SPOT5.tif	2	d3
Image5D_bf3558_SPOT5.tif	3	d4
Image5D_bf3558_SPOT5.tif	4	d5
Image5D_bf3558_SPOT5.tif	5	d6
Image5D_bf3558_SPOT5.tif	6	d8
Image5D_bf3558_SPOT5.tif	7	d12
Image5D_bf3558_SPOT5.tif	8	d15
Image5D_bf3558_SPOT5.tif	9	d27
Image5D_bf3558_SPOT8.tif	1	d3
Image5D_bf3558_SPOT8.tif	2	d4
Image5D_bf3558_SPOT8.tif	3	d5
Image5D_bf3558_SPOT8.tif	4	d6
Image5D_bf3558_SPOT8.tif	5	d7
Image5D_bf3558_SPOT8.tif	6	d8
Image5D_bf3546_SPOT101.tif	1	d2
Image5D_bf3546_SPOT101.tif	2	d3
Image5D_bf3546_SPOT101.tif	3	d4
Image5D_bf3546_SPOT101.tif	4	d5
Image5D_bf3546_SPOT101.tif	5	d6
Image5D_bf3546_SPOT101.tif	6	d7
Image5D_bf3546_SPOT102.tif	1	d2
Image5D_bf3546_SPOT102.tif	2	d3
Image5D_bf3546_SPOT102.tif	3	d4
Image5D_bf3546_SPOT102.tif	4	d5
Image5D_bf3546_SPOT102.tif	5	d6
Image5D_bf3546_SPOT102.tif	6	d7
Image5D_bf3546_SPOT102.tif	7	d8
Image5D_bf3546_SPOT102.tif	8	d9
Image5D_bf3546_SPOT15.tif	1	d6
Image5D_bf3546_SPOT15.tif	2	d7
Image5D_bf3546_SPOT15.tif	3	d8
Image5D_bf3546_SPOT16.tif	1	d6
Image5D_bf3546_SPOT16.tif	2	d7
Image5D_bf3546_SPOT18.tif	1	d8
Image5D_bf3546_SPOT18.tif	2	d9
Image5D_bf3546_SPOT18.tif	3	d10
Image5D_bf3546_SPOT18.tif	4	d11
Image5D_bf3546_SPOT18.tif	5	d12
Image5D_bf3546_SPOT18.tif	6	d13
Image5D_bf3546_SPOT18.tif	7	d15
Image5D_bf3546_SPOT2.tif	1	d3
Image5D_bf3546_SPOT2.tif	2	d4
Image5D_bf3546_SPOT2.tif	3	d5
Image5D_bf3546_SPOT5.tif	1	d4
Image5D_bf3546_SPOT5.tif	2	d5
2Image5D_bf3546_SPOT5.tif	3	d6
Image5D_bf3546_SPOT5.tif	4	d7
Image5D_bf3546_SPOT5.tif	5	d8
Image5D_bf3546_SPOT5.tif	6	d9
Image5D_bf3546_SPOT5.tif	7	d15
Image5D_bf3546_SPOT5.tif	8	d22
Image5D_bf3541_SPOT1.tif	1	d4
Image5D_bf3541_SPOT1.tif	2	d5
Image5D_bf3541_SPOT1.tif	3	d6
Image5D_bf3541_SPOT1.tif	4	d7
Image5D_bf3541_SPOT1.tif	5	d8
Image5D_bf3541_SPOT1.tif	6	d9
Image5D_bf3541_SPOT1.tif	7	d10
Image5D_bf3541_SPOT1.tif	8	d11
Image5D_bf3541_SPOT1.tif	9	d12
Image5D_bf3541_SPOT1.tif	10	d13
Image5D_bf3541_SPOT1.tif	11	d14
Image5D_bf3541_SPOT1.tif	12	d16
Image5D_bf3541_SPOT1.tif	13	d20
Image5D_bf3541_SPOT10.tif	1	d7
Image5D_bf3541_SPOT10.tif	2	d8
Image5D_bf3541_SPOT10.tif	3	d9
Image5D_bf3541_SPOT10.tif	4	d11
Image5D_bf3541_SPOT10.tif	5	d12
Image5D_bf3541_SPOT10.tif	6	d13
Image5D_bf3541_SPOT10.tif	7	d16
Image5D_bf3541_SPOT10.tif	8	d17
Image5D_bf3541_SPOT10.tif	9	d20
Image5D_bf3541_SPOT11.tif	1	d7
Image5D_bf3541_SPOT11.tif	2	d8
Image5D_bf3541_SPOT11.tif	3	d9
Image5D_bf3541_SPOT12.tif	1	d7
Image5D_bf3541_SPOT12.tif	2	d10
Image5D_bf3541_SPOT12.tif	3	d11
Image5D_bf3541_SPOT12.tif	4	d12
Image5D_bf3541_SPOT12.tif	5	d13
Image5D_bf3541_SPOT12.tif	6	d14
Image5D_bf3541_SPOT12.tif	7	d15
Image5D_bf3541_SPOT12.tif	8	d20
Image5D_bf3541_SPOT3.tif	1	d5
Image5D_bf3541_SPOT3.tif	2	d6
Image5D_bf3541_SPOT3.tif	3	d7
Image5D_bf3541_SPOT4.tif	1	d5
Image5D_bf3541_SPOT4.tif	2	d6
Image5D_bf3541_SPOT5.tif	1	d5
Image5D_bf3541_SPOT5.tif	2	d6
Image5D_bf3541_SPOT6.tif	1	d5
Image5D_bf3541_SPOT6.tif	2	d7
Image5D_bf3541_SPOT6.tif	3	d8
Image5D_bf3541_SPOT6.tif	4	d9
Image5D_bf3541_SPOT6.tif	5	d10
Image5D_bf3541_SPOT7.tif	1	d5
Image5D_bf3541_SPOT7.tif	2	d6
Image5D_bf3541_SPOT7.tif	3	d7
Image5D_bf3541_SPOT7.tif	4	d8
Image5D_bf3541_SPOT7.tif	5	d9
Image5D_bf3541_SPOT7.tif	6	d10
Image5D_bf3541_SPOT7.tif	7	d11
Image5D_bf3541_SPOT7.tif	8	d12
Image5D_bf3541_SPOT7.tif	9	d13
Image5D_bf3541_SPOT7.tif	10	d14
Image5D_bf3541_SPOT7.tif	11	d16
Image5D_bf3541_SPOT9.tif	1	d5
Image5D_bf3541_SPOT9.tif	2	d6
Image5D_bf3541_SPOT9.tif	3	d7
Image5D_bf3541_SPOT9.tif	4	d8
Image5D_bf3541_SPOT9.tif	5	d9
Image5D_bf3541_SPOT9.tif	6	d11
Image5D_bf3541_SPOT9.tif	7	d12
Image5D_bf3541_SPOT9.tif	8	d13
Image5D_bf3541_SPOT9.tif	9	d14
Image5D_bf3541_SPOT9.tif	10	d16
Image5D_bf3541_SPOT9.tif	11	d20

